"","mu_1","mu_2","mu_3","mu_4","mu_5","1/sigma_1^2","1/sigma_2^2","1/sigma_3^2","1/sigma_4^2","1/sigma_5^2","rho_12","rho_13","rho_14","rho_15","rho_23","rho_24","rho_25","rho_34","rho_35","rho_45"
"1",-2.6676835365193,-0.613208878863674,0.257838070500083,1.50729697696661,3.0522426764058,1.65693021711799,7.48013776725657,22.4997346663693,11.0301944930649,1.59391359780995,0.140736350413228,0.0737263798285277,-0.0653139769681544,-0.304225224672343,0.0664088172117986,0.0651825055760314,-0.00741799442555264,0.0309717195727372,0.00349712628028676,0.108101473666647
"2",-2.27598465595635,-1.57204957506573,0.0689172940522092,1.20410060669312,2.40020735633699,3.32768142280837,4.30657683367722,53.242338278429,7.43401768156491,1.08208453248839,0.0563110984117308,-0.00330583034993157,-0.0172080844994752,0.0507483106124682,-0.0111645044600773,0.036850278624843,0.265593363688704,0.0354489883637009,-0.0603268223949686,0.0443254913747393
"3",-2.69860657146001,-0.81162908799783,-0.0619000111647699,0.668314636222493,2.68438449977246,4.46899601870554,4.42319001350668,77.8890149722495,5.91487431136781,2.19925510543758,0.0642122466172861,-0.022013739904165,0.126960210075288,0.0619391243895645,-0.029060650625007,-0.038139373787963,0.181387978476626,-0.00584910714059102,0.00529410727304475,-0.141835958454278
"4",-2.55230198262389,-1.318908982254,0.0496143969027119,1.28668459165198,3.23886665011795,2.35274569604959,4.19793860054198,32.8874970474235,6.56470559738427,0.709218918782214,0.0474841243105914,-0.0440942826949446,-0.200305451548459,-0.381276416038305,-0.0468239783702373,0.0411127586295067,0.0932210443228199,-0.00740185953668971,0.114940815416777,0.229188562284194
"5",-1.56933469916227,-0.880006264548626,0.113914026424116,0.304857801536057,2.92560419449792,0.479244062539051,4.81007388422874,19.5298690524099,6.75980123605837,2.16762501106258,0.0574057609309825,-0.18760153433679,-0.414649432250276,0.325709117560376,-0.0214859799062638,0.0106611366096601,0.0379836845514919,-0.00319424530942774,0.0541880354756396,-0.157940097351965
"6",-2.86601436070998,-1.2512691058333,0.0315864369339962,1.15784556101728,2.22850767316343,0.612582441863221,11.7895507627638,22.8224030114997,23.4399564693164,1.30751298340008,0.0673577804912745,-0.0299557583914444,-0.0128722677516981,0.991551269711734,-0.0328005519773519,-0.0483949606035787,-0.0111124061149378,0.0387856162127277,-0.0481864958209201,-0.0182414726094473
"7",-4.22503335226986,0.318578568008828,0.190279665893464,3.47855802674445,1.82484603187862,1.10045808099083,10.2961889005896,172.382176260307,1.03703680091824,1.51693797232879,-0.137159974194962,-0.0261590246681749,-0.801015915680122,0.105091604932024,0.0118038456847328,0.116412836964483,-0.0800172914724883,-0.00965075901006332,0.0279172044818789,-0.358103915342925
"8",-1.74523488475927,-0.683111615395285,0.471684633359471,3.5696352335656,2.17267704007288,2.50814672108547,7.76023381794467,14.384400849026,1.16217154539702,7.1373522211749,0.125811378387198,0.121097623648084,0.272240696504815,-0.112852624044959,0.0118751643386865,0.0321189936945833,0.0577717023251064,0.0416038924742151,-0.0534099060397917,-0.207326773574727
"9",-1.8633933599096,-1.96463273091434,0.24024945468507,-1.08557196348125,2.47924860972897,2.27114329818147,5.99210484694784,91.9298178328686,0.903765290425663,2.12902934061575,-0.00153052826277072,0.0398067963260924,-0.533067463962553,-0.182733395021655,-0.00719557339931556,0.102664053475245,-0.172294367210029,-0.076090104428528,-0.0129237934702274,0.337974070316234
"10",-2.13622959345084,-1.9286161158391,-0.525258637556735,0.386717585748491,2.82969075038761,6.20822042167837,3.20227150654825,30.4761777363791,3.84107494351922,0.700606130838464,-0.0148267217406924,-0.0387182514494884,-0.147038040424301,-0.0391388946064881,0.0143452707123021,-0.00230885915507278,-0.435378187139103,0.0542610891151452,0.125675801691024,0.131295372652351
"11",-3.07053135463828,-0.902456290133895,-0.417793397724725,1.0691133596011,2.84559326442694,2.24666314869825,4.27517091614957,16.2297890198468,8.03338607902971,1.52224902678545,-0.0166530404509952,0.0356938914356056,0.0594236874057157,0.166391423422141,-0.0964871480230334,0.0359754980085613,0.0464025407868276,-0.0501722317796604,-0.074964690522698,0.122565643004615
"12",-2.86272321340681,-1.15215653798316,-0.145687043109965,1.2766054191686,2.37724996941773,0.918709898430195,3.77628014231657,18.3563002103317,2.21556412146049,2.67107571925081,0.0657215836091271,0.129987013259707,0.323016692511476,0.467095988599127,0.0732728655566499,-0.222372603393602,0.168762316099574,-0.0511249292664721,0.0673192446584286,0.0876966303058069
"13",-4.18323728730241,-1.55312422762621,-0.00433201706352947,0.816826724071405,3.76680631562385,1.35511562055373,2.18355461471588,72.9270269214666,15.5462360957433,2.30418139834602,0.137116247277206,0.0214756613954339,0.0515483448814117,-0.526445256600625,0.0217524921843092,-0.0623670576277854,-0.1443165345977,-0.0115142198643888,0.000138855438971046,-0.0742168904092282
"14",-2.38240642737096,-1.26433208459325,0.115198993010219,1.69779961953379,2.53357575413441,0.969236729881049,16.0193248836016,44.9259653116105,1.75828182352273,3.29982298341074,-0.111251690781386,0.0627380689276696,-0.12125488618778,0.108422459068879,-0.00957733756919466,-0.0433838105801626,0.0801865991198713,0.0882895640677298,0.029512675653397,0.0651084955078966
"15",-1.87518256677902,-1.02820500021452,-0.236064824942738,0.325320401097266,1.95120437219125,1.53515896486214,5.52806296910493,25.8099196327851,2.5124224208631,2.39093759290624,-0.145841739416351,0.0312049821670488,0.0207667371832991,-0.353755266026786,0.0424160881705297,-0.119625222348568,0.203564166306951,-0.034943842094813,0.0698649583926193,-0.0697328102936786
"16",0.233936036476218,-0.549227477577328,-0.68953635069141,1.40435259292223,-0.202411970203856,0.612133895724218,8.3515596830569,24.7950882177379,6.24431769252897,0.40960516544685,0.147442513784173,-0.15619923984552,0.244692725364244,-1.52752530421104,-0.0570172086896747,-0.0737468152090761,-0.261530933525655,0.0273563762190245,0.184031428848168,-0.064448119713598
"17",-2.8899218007559,-1.37560281340358,0.0777677487251679,0.518885571168801,2.5233963616533,4.49813213750218,5.15487230006692,151.523844847707,13.1491063275308,4.0883230105747,-0.0111832665450639,-0.00379496971171513,0.0707229241311755,-0.117012038778269,-0.0324220448586044,-0.0238573580748719,0.157854892846069,0.00567386218766706,-0.0196901326363406,-0.0782832487222795
"18",-3.46417289357496,-1.19954904372941,-1.67410112161323,2.40463333362708,3.93001677267157,1.0069841012465,3.79510755409449,5.68506814895172,1.79644558282101,2.70779964186674,0.28961690373703,-0.195143253674336,0.268274331776836,-0.340834473493528,-0.0768061542511057,-0.105629255898424,-0.154792339150656,-0.218802292261464,-0.105100377163412,0.206896110394912
"19",-1.7668136161577,-0.494809704025163,0.070692952613247,0.538394824197111,3.15052510464287,0.853300200717388,11.2670396635412,99.1204193251617,10.5996457244848,2.87984974816264,0.101830860782421,0.102112689055279,-0.0732627033947109,0.500304390251009,-0.00067753052747948,-0.0502131683420718,0.0921018208166183,-0.00228012214873852,0.0381861636565062,-0.129669117221418
